Time,Channel A,Channel B
(us),(mV),(mV)

0.00000000,-100.27070000,78.90932000
0.00100000,-83.96899000,79.61675000
0.00200000,-65.45275000,76.51021000
0.00300000,-48.01304000,70.54318000
0.00400000,-31.83440000,63.00750000
0.00500000,-20.13103000,55.44106000
0.00600000,-13.76415000,46.85962000
0.00700000,-14.24089000,39.06250000
0.00800000,-18.60851000,32.80327000
0.00900000,-26.19033000,29.83514000
0.01000000,-38.10900000,24.57554000
0.01100000,-52.10384000,18.37783000
0.01200000,-65.12980000,14.11786000
0.01300000,-74.75700000,12.74914000
0.01400000,-81.30843000,10.70374000
0.01500000,-83.59990000,8.62758300
0.01600000,-79.21690000,7.70484700
0.01700000,-68.89763000,8.39689900
0.01800000,-56.97895000,6.41301600
0.01900000,-45.73695000,2.50676700
0.02000000,-32.77251000,-2.79896600
0.02100000,-20.60777000,-8.30462600
0.02200000,-13.01058000,-15.84030000
0.02300000,-11.41117000,-23.86811000
0.02400000,-13.56422000,-30.23499000
0.02500000,-19.06988000,-33.44918000
0.02600000,-29.94279000,-37.53998000
0.02700000,-44.16830000,-41.20017000
0.02800000,-57.07123000,-45.41400000
0.02900000,-66.02177000,-49.07418000
0.03000000,-75.54134000,-53.45718000
0.03100000,-83.33846000,-57.82480000
0.03200000,-88.70570000,-58.70140000
0.03300000,-90.55118000,-55.47182000
0.03400000,-89.32086000,-56.28690000
0.03500000,-84.95325000,-60.42384000
0.03600000,-80.46259000,-65.85260000
0.03700000,-76.32566000,-71.58894000
0.03800000,-74.15723000,-78.01734000
0.03900000,-74.38791000,-83.75368000
0.04000000,-75.44906000,-88.95177000
0.04100000,-77.04847000,-92.15059000
0.04200000,-81.30843000,-97.41018000
0.04300000,-87.27546000,-103.37720000
0.04400000,-93.82689000,-108.69830000
0.04500000,-99.79391000,-112.12780000
0.04600000,-104.17690000,-116.34170000
0.04700000,-106.23770000,-120.23250000
0.04800000,-105.13040000,-123.32370000
0.04900000,-100.99350000,-124.70780000
0.05000000,-95.73387000,-127.67590000
0.05100000,-90.70496000,-131.12080000
0.05200000,-81.06237000,-137.54920000
0.05300000,-68.89763000,-145.57700000
0.05400000,-58.08624000,-153.11270000
0.05500000,-50.75049000,-158.61830000
0.05600000,-44.50664000,-163.69340000
0.05700000,-41.06176000,-166.66150000
0.05800000,-38.03211000,-173.02840000
0.05900000,-36.43270000,-181.30230000
0.06000000,-34.43344000,-187.71530000
0.06100000,-32.83403000,-190.92950000
